Timestamp,DO_1,DO_2,DO_3,DO_4,DO_5,DO_6,DO_7,DO_8
2021-01-13_03-33-06,0,0,0,0,0,0,0,0
2021-01-13_03-33-07,1,0,0,0,0,0,0,0
2021-01-13_03-33-08,1,0,0,0,0,0,0,0
2021-01-13_03-33-09,1,0,0,0,0,0,0,0
2021-01-13_03-33-10,1,0,0,0,0,0,0,0
2021-01-13_03-33-11,1,0,0,0,0,0,0,0
2021-01-13_03-33-12,1,0,0,0,0,0,0,0
2021-01-13_03-33-13,1,0,0,0,0,0,0,0
2021-01-13_03-33-14,1,0,0,0,0,0,0,0
2021-01-13_03-33-51,0,0,0,0,0,0,0,0
2021-01-13_03-33-52,1,0,0,0,0,0,0,0
2021-01-13_03-33-53,1,0,0,0,0,0,0,0
2021-01-13_03-33-54,1,0,0,0,0,0,0,0
2021-01-13_03-33-55,1,0,0,0,0,0,0,0
2021-01-13_03-33-56,1,0,0,0,0,0,0,0
2021-01-13_03-33-57,0,0,0,0,0,0,0,0
2021-01-13_03-33-58,0,0,0,0,0,0,0,0
2021-01-13_03-33-59,0,0,0,0,0,0,0,0
2021-01-13_03-34-00,0,0,0,0,0,0,0,0
2021-01-13_03-34-01,0,0,0,0,0,0,0,0
2021-01-13_03-34-02,0,0,0,0,0,0,0,0
2021-01-13_03-34-03,0,0,0,0,0,0,0,0
2021-01-13_03-34-04,0,0,0,0,0,0,0,0
2021-01-13_03-34-05,0,0,0,0,0,0,0,0
2021-01-13_03-35-28,0,0,0,0,0,0,0,0
2021-01-13_03-35-29,0,0,0,0,0,0,0,0
2021-01-13_03-35-30,0,0,0,0,0,0,0,0
2021-01-13_03-35-31,0,0,0,0,0,0,0,0
2021-01-13_03-35-32,0,0,0,0,0,0,0,0
2021-01-13_03-35-33,0,0,0,0,0,0,0,0
2021-01-13_03-35-34,0,0,0,0,0,0,0,0
2021-01-13_03-35-35,0,0,0,0,0,0,0,0
2021-01-13_03-35-36,0,0,0,0,0,0,0,0
2021-01-13_03-35-37,0,0,0,0,0,0,0,0
2021-01-14_10-58-31,0,0,0,0,0,0,0,0
2021-01-14_10-58-32,0,0,0,0,0,0,0,0
2021-01-14_10-58-33,0,0,0,0,0,0,0,0
2021-01-14_10-58-34,0,0,0,0,0,0,0,0
2021-01-14_10-58-35,0,0,0,0,0,0,0,0
2021-01-14_10-58-36,0,0,0,0,0,0,0,0
2021-01-14_10-58-37,0,0,0,0,0,0,0,0
2021-01-14_10-58-38,0,0,0,0,0,0,0,0
2021-01-14_10-58-39,0,0,0,0,0,0,0,0
2021-01-14_10-58-40,0,0,0,0,0,0,0,0
2021-01-14_10-58-41,0,0,0,0,0,0,0,0
2021-01-14_10-58-42,0,0,0,0,0,0,0,0
2021-01-14_10-58-43,0,0,0,0,0,0,0,0
2021-01-14_10-58-44,0,0,0,0,0,0,0,0
2021-01-14_10-58-45,0,0,0,0,0,0,0,0
2021-01-14_10-58-46,0,0,0,0,0,0,0,0
2021-01-14_10-58-47,0,0,0,0,0,0,0,0
2021-01-14_10-58-48,0,0,0,0,0,0,0,0
2021-01-14_10-58-49,0,0,0,0,0,0,0,0
